widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3
5,taken,5.0,2.0,1.0,VBN,root,2.0,2.0,2.0,2.0,-1.0,3,Forty-four Americans have now taken the Presidential oath .,1,1,2,0.0008302200083022,0.166666666666667,1.0,3.87744375108173,0.0,16,0.000405237697236785,0.0121951219512195,1.0,5.80044516733702,2.53078566527848
6,the,2.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,-2.0,3,Forty-four Americans have now taken the Presidential oath .,1,1,132,0.0547945205479452,0.5,1.0,2.23772426369185,0.238897371045777,2261,0.0572651520907732,0.1875,1.0,2.74917326769894,0.87789225295395
7,Presidential,11.0,4.0,2.0,NNP,compound,1.0,1.0,1.0,1.0,0.0,3,Forty-four Americans have now taken the Presidential oath .,1,1,1,0.0004151100041511,0.00757575757575758,1.0,7.04439411935845,0.0,3,7.59820682318973e-05,0.000884564352056612,0.333333333333333,8.22593599209394,3.61411678113794
8,oath,2.0,1.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,3,Forty-four Americans have now taken the Presidential oath .,1,1,3,0.0012453300124533,1.0,1.0,2.34813137311948,1.19498750024039,22,0.00055720183370058,0.333333333333333,0.5,6.04613835868365,1.64973112087933
9,.,,,,.,,,,,,,3,Forty-four Americans have now taken the Presidential oath .,1,1
1,The,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,4,The words have been spoken during rising tides of prosperity and the still waters of peace .,5,4,132,0.0547945205479452,0.083969465648855,0.0,2.23772426369185,0.238897371045777,2261,0.0572651520907732,0.0644897959183673,0.0,2.74917326769894,0.87789225295395
2,words,4.0,1.0,1.0,NNS,nsubjpass,2.0,2.0,2.0,2.0,-1.0,4,The words have been spoken during rising tides of prosperity and the still waters of peace .,5,4,4,0.0016604400166044,0.0151515151515152,0.0909090909090909,3.8146783100398,1.61485790465932,26,0.000658511258009776,0.00486510393631137,0.00632911392405063,6.97164030984679,2.6811955130888
3,have,3.0,1.0,1.0,VBP,aux,3.0,3.0,2.0,3.0,-1.75,4,The words have been spoken during rising tides of prosperity and the still waters of peace .,5,4,16,0.0066417600664176,0.25,0.5,3.08784093704885,0.636059516771018,292,0.00739558797457133,0.0384615384615385,0.0909090909090909,3.80977694940257,2.02414628145526
4,been,3.0,1.0,1.0,VBN,auxpass,3.0,3.0,2.0,3.0,-1.75,4,The words have been spoken during rising tides of prosperity and the still waters of peace .,5,4,8,0.0033208800332088,0.25,1.0,2.38426768284406,0.344360937770434,75,0.00189955170579743,0.0958904109589041,1.0,3.11186156415034,1.05529842653678
5,spoken,6.0,2.0,1.0,VBN,root,2.0,2.0,2.0,2.0,-1.0,4,The words have been spoken during rising tides of prosperity and the still waters of peace .,5,4,1,0.0004151100041511,0.125,0.25,3.0,2.0,4,0.000101309424309196,0.0133333333333333,0.0357142857142857,4.55649954285838,2.69615871138938
